"","01f","01p","02f","02p","07f","07p","08f","08p","11f","11p","12f","12p","13f","13p","14f","14p","15f","15p","16f","16p"
"1",336,229,155,96,90,23,50,70,19,46,6,27,75,47,28,19,2,5,1,1
"2",13,28,755,217,1,4,218,48,1,1,41,25,2,2,113,87,0,0,5,9
"3",14,2,4,4,10,2,3,8,4,4,1,6,1,0,0,0,2,0,0,2
"4",1,6,27,14,0,0,30,4,1,1,7,1,0,0,1,0,0,0,5,1
"5",23,19,3,2,77,8,23,39,1,3,0,2,50,35,9,14,4,2,1,1
"6",2,6,35,24,1,3,151,36,0,1,1,2,0,1,74,47,0,0,8,2
"7",5,9,1,4,82,12,37,20,1,3,0,2,1,4,0,2,14,2,1,4
"8",6,5,28,19,8,1,336,27,0,1,2,0,0,0,0,11,1,0,42,7
"9",53,28,9,5,8,4,5,5,47,49,21,28,120,56,46,19,3,10,3,6
"10",5,4,93,34,1,2,33,7,1,5,170,26,1,3,177,77,0,0,44,16
"11",12,7,1,4,5,2,2,2,51,19,19,18,1,2,0,1,20,6,8,5
"12",3,8,25,16,0,0,20,3,2,0,167,22,0,3,1,10,0,0,57,22
"13",3,0,0,0,5,3,6,0,2,2,0,0,59,24,23,15,15,10,2,7
"14",1,1,3,2,0,0,19,2,0,1,11,5,4,5,125,55,0,0,17,17
"15",1,5,0,1,27,4,6,3,11,8,1,3,4,3,2,4,67,6,16,11
"16",1,3,8,6,3,0,84,5,0,2,26,8,1,0,10,10,1,0,251,27
